@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
169,'2024/02/28 01:11:19:109',1,0.002274,0.000878,0.006793,0.192868,0.085457,-2.636926,0.99,0,0
170,'2024/02/28 01:11:19:143',1,-0.001264,0.000952,0.008585,0.192849,0.085408,-2.636777,1,0,0
171,'2024/02/28 01:11:19:177',1,0.000449,0.001788,0.008436,0.192706,0.085697,-2.636914,1,0,0
172,'2024/02/28 01:11:19:210',1,0.005122,0.002017,0.003196,0.192504,0.086049,-2.637132,1,0,0
173,'2024/02/28 01:11:19:244',1,0.005757,0.000566,0.006237,0.19255,0.086072,-2.637139,1,0,0
174,'2024/02/28 01:11:19:278',1,0.003905,0.00167,0.006095,0.192649,0.085908,-2.637013,1,0,0
175,'2024/02/28 01:11:19:311',1,0.002333,0.002544,0.006082,0.192683,0.085799,-2.636942,1,0,0
176,'2024/02/28 01:11:19:346',1,0.000221,0.001671,0.008679,0.192696,0.085915,-2.636957,1,0,0
177,'2024/02/28 01:11:19:382',1,0.005131,0.001838,0.005577,0.192617,0.085964,-2.636945,1,0,0
178,'2024/02/28 01:11:19:412',1,0.001242,0.001463,0.007994,0.192671,0.085948,-2.636925,1,0,0
179,'2024/02/28 01:11:19:444',1,0.004898,0.000865,0.006517,0.192652,0.085954,-2.63691,1,0,0
180,'2024/02/28 01:11:19:477',1,0.003432,0.001146,0.007864,0.192549,0.085952,-2.636873,1,0,0
181,'2024/02/28 01:11:19:512',1,0.0043,0.001406,0.003249,0.192457,0.085891,-2.636807,1,0,0
182,'2024/02/28 01:11:19:543',1,0.002427,0.002462,0.005797,0.192631,0.085671,-2.636721,1,0,0
183,'2024/02/28 01:11:19:578',1,0.000422,0.002419,0.010751,0.192666,0.085662,-2.636673,1,0,0
184,'2024/02/28 01:11:19:611',1,0.000106,0.00142,0.006598,0.192316,0.085933,-2.636731,1,0,0
185,'2024/02/28 01:11:19:644',1,0.003832,0.002262,0.003816,0.19193,0.086142,-2.636903,1,0,0
186,'2024/02/28 01:11:19:678',1,0.00494,0.00272,-0.000652,0.191853,0.086286,-2.637027,1,0,0
187,'2024/02/28 01:11:19:711',1,0.006584,-0.000107,0.000045,0.192393,0.085847,-2.636925,1,0,0
188,'2024/02/28 01:11:19:743',1,0.001268,0.003801,0.012267,0.192985,0.085224,-2.636654,1,0,0
189,'2024/02/28 01:11:19:778',1,-0.000836,0.004125,0.011545,0.193082,0.085067,-2.636569,1,0,0
