@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
153,'2024/02/21 17:42:53:572',4,15.219531,1.024404,7.769814,7.745768,-0.080903,2.888114,2.905434,0,0,0,0,0,1,0,0
154,'2024/02/21 17:42:53:606',4,14.909813,1.036238,7.905625,7.868412,-0.072613,2.706763,2.7256,0,0,0,0,0,1,0,0
155,'2024/02/21 17:42:53:641',4,14.817405,1.004163,7.80922,7.769318,-0.071279,2.912169,2.93163,0,0,0,0,0,1,0,0
156,'2024/02/21 17:42:53:676',4,14.344877,0.989533,8.100851,8.053666,-0.067621,2.570063,2.591522,0,0,0,0,0,1,0,0
157,'2024/02/21 17:42:53:705',4,15.357992,1.030521,8.17312,8.123102,-0.070757,2.504387,2.521851,0,0,0,0,0,1,0,0
158,'2024/02/21 17:42:53:734',4,14.931684,1.019594,8.103651,8.04191,-0.07002,2.6132,2.624129,0,0,0,0,0,1,0,0
159,'2024/02/21 17:42:53:769',4,14.887623,1.037698,8.08637,8.023002,-0.074128,2.638333,2.658957,0,0,0,0,0,1,0,0
160,'2024/02/21 17:42:53:798',4,15.184463,1.047513,8.046748,7.991593,-0.078092,2.675949,2.681209,0,0,0,0,0,1,0,0
161,'2024/02/21 17:42:53:839',4,15.16515,1.037293,8.084494,8.029129,-0.069076,2.638866,2.656462,0,0,0,0,0,1,0,0
162,'2024/02/21 17:42:53:874',4,15.147177,1.033562,8.01633,7.971389,-0.070278,2.736997,2.756649,0,0,0,0,0,1,0,0
163,'2024/02/21 17:42:53:902',4,14.983258,1.006508,8.126567,8.08495,-0.073025,2.622324,2.637375,0,0,0,0,0,1,0,0
164,'2024/02/21 17:42:53:937',4,14.919457,1.01554,8.029134,7.978482,-0.064514,2.744439,2.763954,0,0,0,0,0,1,0,0
165,'2024/02/21 17:42:53:972',4,14.762849,1.028695,8.192185,8.15344,-0.067918,2.632931,2.652362,0,0,0,0,0,1,0,0
166,'2024/02/21 17:42:54:007',4,14.691292,1.034514,8.055617,8.003767,-0.07285,2.729308,2.739939,0,0,0,0,0,1,0,0
167,'2024/02/21 17:42:54:042',4,15.080462,1.047792,8.191236,8.140829,-0.069676,2.600908,2.604695,0,0,0,0,0,1,0,0
168,'2024/02/21 17:42:54:071',4,14.805719,1.030508,8.077643,8.027012,-0.07021,2.720474,2.732828,0,0,0,0,0,1,0,0
169,'2024/02/21 17:42:54:106',4,14.838852,1.043051,8.216372,8.160522,-0.071401,2.575894,2.582242,0,0,0,0,0,1,0,0
170,'2024/02/21 17:42:54:135',4,14.848874,1.014209,8.10713,8.060893,-0.06895,2.701012,2.712479,0,0,0,0,0,1,0,0
171,'2024/02/21 17:42:54:164',4,14.98384,1.019971,8.164283,8.110973,-0.067281,2.627661,2.635082,0,0,0,0,0,1,0,0
172,'2024/02/21 17:42:54:198',4,15.032465,1.031341,8.108378,8.056032,-0.07213,2.68366,2.686294,0,0,0,0,0,1,0,0
173,'2024/02/21 17:42:54:234',4,14.862397,1.033499,8.132583,8.080942,-0.06604,2.644534,2.652231,0,0,0,0,0,1,0,0
174,'2024/02/21 17:42:54:268',4,14.900479,1.022921,8.085111,8.034986,-0.070737,2.7048,2.714755,0,0,0,0,0,1,0,0
175,'2024/02/21 17:42:54:297',4,15.083914,1.035757,8.138911,8.088054,-0.063547,2.669621,2.683706,0,0,0,0,0,1,0,0
